review_id,hotel_id,review_text,target_entity
1,2004,Customer support was amazing. The Free WiFi was a big part of our experience.,Free WiFi
2,2002,Great value for the price. The Free WiFi was a big part of our experience.,Free WiFi
3,2002,"Functional, but unexciting. The Location was a big part of our experience.",Location
4,2002,"It's okay, nothing special. The Facilities was a big part of our experience.",Facilities
5,2004,Highly recommend to everyone. The Comfort was a big part of our experience.,Comfort
6,2005,I would definitely buy again. The Free WiFi was a big part of our experience.,Free WiFi
7,2004,I would definitely buy again. The Cleanliness was a big part of our experience.,Cleanliness
8,2002,Best purchase I've made this year. The Free WiFi was a big part of our experience.,Free WiFi
9,2003,"Five stars, no complaints. The Staff was a big part of our experience.",Staff
10,2003,"Functional, but unexciting. The Location was a big part of our experience.",Location
11,2005,Poor quality and bad support. The Comfort was a big part of our experience.,Comfort
12,2002,Best purchase I've made this year. The Location was a big part of our experience.,Location
13,2001,Wouldn’t buy this again. The Staff was a big part of our experience.,Staff
14,2001,No major complaints or praise. The Cleanliness was a big part of our experience.,Cleanliness
15,2002,No major complaints or praise. The Free WiFi was a big part of our experience.,Free WiFi
16,2001,I would definitely buy again. The Facilities was a big part of our experience.,Facilities
17,2005,Poor quality and bad support. The Free WiFi was a big part of our experience.,Free WiFi
18,2005,Fantastic service and quality. The Comfort was a big part of our experience.,Comfort
19,2003,Average experience. The Comfort was a big part of our experience.,Comfort
20,2005,Service was neither good nor bad. The Cleanliness was a big part of our experience.,Cleanliness
21,2004,Not worth the money. The Staff was a big part of our experience.,Staff
22,2002,Fantastic service and quality. The Facilities was a big part of our experience.,Facilities
23,2001,"It's okay, nothing special. The Staff was a big part of our experience.",Staff
24,2004,Poor quality and bad support. The Comfort was a big part of our experience.,Comfort
25,2002,Decent but not remarkable. The Location was a big part of our experience.,Location
26,2001,Average experience. The Staff was a big part of our experience.,Staff
27,2005,Meets the basic requirements. The Staff was a big part of our experience.,Staff
28,2004,Average experience. The Value for money was a big part of our experience.,Value for money
29,2003,Meets the basic requirements. The Staff was a big part of our experience.,Staff
30,2003,Average experience. The Facilities was a big part of our experience.,Facilities
31,2005,Brilliant design and easy to use. The Comfort was a big part of our experience.,Comfort
32,2002,Worst product I’ve purchased. The Comfort was a big part of our experience.,Comfort
33,2003,Service was neither good nor bad. The Location was a big part of our experience.,Location
34,2001,Didn't meet expectations at all. The Value for money was a big part of our experience.,Value for money
35,2003,I would definitely buy again. The Location was a big part of our experience.,Location
36,2001,I regret buying this. The Facilities was a big part of our experience.,Facilities
37,2001,Decent but not remarkable. The Staff was a big part of our experience.,Staff
38,2001,Highly recommend to everyone. The Cleanliness was a big part of our experience.,Cleanliness
39,2005,Great value for the price. The Value for money was a big part of our experience.,Value for money
40,2001,"Five stars, no complaints. The Comfort was a big part of our experience.",Comfort
41,2002,Meets the basic requirements. The Staff was a big part of our experience.,Staff
42,2002,Highly recommend to everyone. The Cleanliness was a big part of our experience.,Cleanliness
43,2005,Customer support was amazing. The Location was a big part of our experience.,Location
44,2003,"It's okay, nothing special. The Location was a big part of our experience.",Location
45,2001,Exceeded my expectations. The Value for money was a big part of our experience.,Value for money
46,2002,Absolutely love this product! The Comfort was a big part of our experience.,Comfort
47,2001,"It's okay, nothing special. The Free WiFi was a big part of our experience.",Free WiFi
48,2003,I would definitely buy again. The Facilities was a big part of our experience.,Facilities
49,2005,It works as expected. The Comfort was a big part of our experience.,Comfort
50,2003,Very disappointed. Would not recommend. The Cleanliness was a big part of our experience.,Cleanliness
51,2002,Very disappointed. Would not recommend. The Value for money was a big part of our experience.,Value for money
52,2003,Exceeded my expectations. The Staff was a big part of our experience.,Staff
53,2002,Decent but not remarkable. The Facilities was a big part of our experience.,Facilities
54,2002,"Five stars, no complaints. The Location was a big part of our experience.",Location
55,2005,Not worth the money. The Free WiFi was a big part of our experience.,Free WiFi
